countries,Year,Territorial GHG emissions [t],Residential GHG emissions [t],Transfer GHG emissions [t],Footprint GHG emissions [t],GDP [MIO_EURO],Population,As [t],Pb [t],NOx [t],SOx [t],NH3 [t],PM2.5 [t],PM10 [t],NMVOC [t],Cd [t],Hg [t],Cr [t],Ni [t],External costs (Territorial & Low GHG with VOLY) scenario [Euro],External costs (Territorial & Low GHG with VSL) scenario [Euro],External costs (Territorial & Central GHG with VOLY) scenario [Euro],External costs (Territorial & Central GHG with VSL) scenario [Euro],External costs (Territorial & High GHG with VOLY) scenario [Euro],External costs (Territorial & High GHG with VSL) scenario [Euro],External costs (Residential & Low GHG with VOLY) scenario [Euro],External costs (Residential & Low GHG with VSL) scenario [Euro],External costs (Residential & Central GHG with VOLY) scenario [Euro],External costs (Residential & Central GHG with VSL) scenario [Euro],External costs (Residential & High GHG with VOLY) scenario [Euro],External costs (Residential & High GHG with VSL) scenario [Euro],External costs (Footprint & Low GHG with VOLY) scenario [Euro],External costs (Footprint & Low GHG with VSL) scenario [Euro],External costs (Footprint & Central GHG with VOLY) scenario [Euro],External costs (Footprint & Central GHG with VSL) scenario [Euro],External costs (Footprint & High GHG with VOLY) scenario [Euro],External costs (Footprint & High GHG with VSL) scenario [Euro],GDP [EURO]
Bulgaria,2012,51727080.0,61004566.67,4414400.0,56590166.67,42255.3,7327224.0,2.0,13.0,128563.0,323012.0,37908.0,37265.0,51563.0,99855.0,1.0,1.0,4.0,6.0,16888787000.0,48397051384.0,19061324360.0,50569588744.0,40734970880.0,72243235264.0,17473268660.21,48981533044.21,20035460460.35,51543724844.35,45596373895.08,77104638279.08,17195161460.21,48703425844.21,19571948460.35,51080212844.35,43283228295.08,74791492679.08,42255300000.0
Cyprus,2012,8407600.0,8915871.87,-885600.0,9801471.87,19495.4,862011.0,0.0,1.0,20812.0,16053.0,5856.0,1083.0,2026.0,8543.0,0.0,0.0,0.0,9.0,979494460.0,1379256004.0,1332613660.0,1732375204.0,4855398060.0,5255159604.0,1011515587.81,1411277131.81,1385982206.35,1785743750.35,5121732519.879999,5521494063.879999,1067308387.81,1467069931.81,1478970206.35,1878731750.35,5585786919.879999,5985548463.879999,19495400000.0
Czechia,2012,127839890.0,124941753.68,494890.0,124446863.68,162587.5,10505445.0,1.0,24.0,229546.0,160202.0,66767.0,43709.0,58398.0,237766.0,1.0,3.0,11.0,6.0,26765003214.0,65594162834.0,32134278594.0,70963438214.0,85699192504.0,124528352124.0,26582420625.84,65411580245.84,31829974280.4,70659133900.4,84180569072.32,123009728692.32,26551242555.84,65380402175.84,31778010830.4,70607170450.4,83921246712.32,122750406332.32,162587500000.0
Germany,2012,895880960.0,981547004.81,-104395200.0,1085942204.81,2745310.0,80327900.0,7.0,158.0,1433602.0,369062.0,633463.0,113100.0,224348.0,1257415.0,12.0,10.0,75.0,136.0,145449290123.0,347893675370.0,183076290443.0,385520675690.0,558450412683.0,760894797930.0,150846250946.03,353290636193.03,192071225148.05,394515610395.05,603339420163.44,805783805410.44,157423148546.03,359867533793.03,203032721148.05,405477106395.05,658042504963.44,860486890210.44,2745310000000.0
Denmark,2012,56419130.0,94650454.39,-12980600.0,107631054.39,254578.0,5580516.0,0.0,15.0,126609.0,12715.0,80031.0,17917.0,28835.0,119814.0,1.0,0.0,2.0,4.0,7572596901.0,14897760162.0,9942200361.0,17267363622.0,33581815831.0,40906979092.0,9981170337.57,17306333598.57,13956489421.95,21281652682.95,53615029811.36,60940193072.36,10798948137.57,18124111398.57,15319452421.95,22644615682.95,60416864211.36,67742027472.36,254578000000.0
Estonia,2012,16403890.0,22046064.03,161640.0,21884424.03,17916.7,1325217.0,1.0,6.0,37478.0,42648.0,10756.0,7651.0,16868.0,23003.0,1.0,0.0,4.0,3.0,1836629641.0,2664287399.0,2525593021.0,3353250779.0,9398822931.0,10226480689.0,2192086604.8900003,3019744362.8900003,3118021294.15,3945679052.15,12355322122.720001,13182979880.720001,2181903284.8900003,3009561042.8900003,3101049094.15,3928706852.15,12270622762.720001,13098280520.720001,17916700000.0
Greece,2012,109380180.0,122261766.13,16765999.999999998,105495766.13,188380.6,11086406.0,3.0,32.0,285548.0,142670.0,68182.0,48343.0,74580.0,196115.0,4.0,2.0,11.0,59.0,17694677151.0,39192436613.0,22288644711.0,43786404173.0,68118940131.0,89616699593.0,18506217077.19,40003976539.19,23641211254.65,45138970716.65,74868891263.12,96366650725.12,17449959077.19,38947718539.19,21880781254.65,43378540716.65,66083507263.119995,87581266725.12,188380600000.0
Spain,2012,306463850.0,355602915.11,-17033300.0,372636215.11,1031104.0,46818219.0,6.0,94.0,881616.0,285079.0,444134.0,144336.0,226147.0,557260.0,8.0,5.0,26.0,65.0,64200108581.0,152593227700.0,77071590281.0,165464709400.0,205479943431.0,293873062550.0,67295869682.93,155688988801.93,82231192117.55,170624311236.55,231228813548.64,319621932667.64,68368967582.93,156762086701.93,84019688617.55,172412807736.55,240154262748.64,328547381867.64,1031104000000.0
Finland,2012,35270600.0,65937489.04,-16617799.999999998,82555289.03999999,201037.0,5401267.0,3.0,16.0,161719.0,49949.0,37206.0,20180.0,34259.0,102019.0,1.0,1.0,19.0,19.0,5029544761.0,9585842071.0,6510909961.0,11067207271.0,21289291361.0,25845588671.0,6961558770.52,11517856080.52,9730933310.2,14287230620.2,37358741217.96,41915038527.96,8008480170.5199995,12564777480.52,11475802310.199999,16032099620.199999,46066468417.96,50622765727.96,201037000000.0
France,2012,436668230.0,520136639.57,-123109700.0,643246339.5699999,2088804.0,65276983.0,7.0,108.0,1152627.0,216353.0,604639.0,255544.0,340170.0,1304011.0,3.0,4.0,37.0,57.0,103910629881.0,262317381196.0,122250695541.0,280657446856.0,305214683911.0,463621435226.0,109169139683.91,267575890998.91,131014878545.85,289421629860.85,348952130525.68,507358881840.68,116925050783.91,275331802098.91,143941397045.84998,302348148360.85,413461613325.68,571868364640.6799,2088804000000.0
Croatia,2012,20932230.0,26490133.08,-4418500.0,30908633.08,44717.2,4275984.0,1.0,7.0,58074.0,24396.0,35973.0,35031.0,48223.0,80173.0,1.0,0.0,2.0,6.0,7710967150.0,22484552953.0,8590120810.0,23363706613.0,17360725180.0,32134310983.0,8061115044.04,22834700847.04,9173700633.4,23947286436.4,20273066393.92,35046652196.92,8339480544.04,23113066347.04,9637643133.4,24411228936.4,22588360393.92,37361946196.92,44717200000.0
Hungary,2012,56792630.0,65812114.77,-14945400.0,80757514.77000001,100247.6,9931925.0,2.0,13.0,131727.0,30412.0,70220.0,58466.0,73206.0,134407.0,2.0,1.0,12.0,3.0,17968235222.0,49475192134.0,20353525682.0,51860482594.0,44149637652.0,75656594564.0,18536462762.510002,50043419674.51,21300571582.85,52807528494.85,48875847671.48,80382804583.48001,19478022962.510002,50984979874.51,22869838582.850002,54376795494.850006,56707237271.48,88214194183.48001,100247600000.0
Ireland,2012,65426140.00000001,68746087.44,-8524000.0,77270087.44,175218.5,4589287.0,2.0,8.0,110034.0,23330.0,117497.0,14106.0,29987.0,111590.0,0.0,0.0,4.0,6.0,7564084022.0,13241575121.0,10311981902.0,15989473001.0,37725534562.0,43403025661.0,7773240710.72,13450731809.720001,10660576383.2,16338067482.2,39465187020.56,45142678119.56,8310252710.72,13987743809.720001,11555596383.2,17233087482.2,43931763020.56,49609254119.56,175218500000.0
Italy,2012,467036000.0,507408798.81,-124159700.0,631568498.81,1624358.7,59394207.0,18.0,250.0,856959.0,180963.0,387484.0,185386.0,241341.0,1029142.0,5.0,9.0,51.0,38.0,140504800159.0,403576683103.0,160120312159.0,423192195103.0,355808396159.0,618880279103.0,143048286484.03,406120169428.03,164359456034.05,427431338978.05,376963742735.44,640035625679.44,150870347584.03,413942230528.03,177396224534.05,440468107478.05,442023425535.43994,705095308479.44,1624358700000.0
Lithuania,2012,10923400.0,23409628.88,-7190000.0,30599628.88,33410.2,3003641.0,0.0,4.0,55562.0,16976.0,36906.0,8614.0,21734.0,50993.0,0.0,0.0,1.0,6.0,1881928708.0,4482528435.0,2340711508.0,4941311235.0,6917616108.0,9518215835.0,2668561127.4399996,5269160854.44,3651765540.4,6252365267.4,13460400041.119999,16060999768.119999,3121531127.4399996,5722130854.44,4406715540.4,7007315267.4,17227960041.12,19828559768.12,33410199999.999996
Latvia,2012,7108170.0,12339784.64,-5792100.0,18131884.64,22097.5,2044813.0,0.0,6.0,39517.0,4440.0,15947.0,21488.0,31182.0,39957.0,1.0,0.0,2.0,1.0,2280157667.0,6135210169.0,2578700807.0,6433753309.0,5557024037.0,9412076539.0,2609749389.32,6464801891.32,3128020344.2,6983072846.2,8298390108.360001,12153442610.36,2974651689.3199997,6829704191.32,3736190844.2,7591243346.2,11333450508.36,15188503010.36,22097500000.0
Malta,2012,3124490.0,3355908.25,-5234900.0,8590808.25,7364.5,417546.0,0.0,1.0,8890.0,7846.0,1395.0,574.0,1294.0,3279.0,0.0,0.0,0.0,9.0,412571049.0,769177902.0,543799629.0,900406482.0,1852960939.0,2209567792.0,427150398.75,783757251.75,568098545.25,924705398.25,1974224102.0,2330830955.0,756949098.75,1113555951.75,1117763045.25,1474369898.25,4717311702.0,5073918555.0,7364500000.0
Netherlands,2012,201999750.0,215646861.28,-23865000.0,239511861.28,652966.0,16730348.0,1.0,16.0,326780.0,34635.0,126372.0,19874.0,33565.0,264004.0,3.0,1.0,4.0,2.0,31787605109.0,72537297537.0,40271594609.0,81021287037.0,124909489859.0,165659182287.0,32647373119.64,73397065547.64,41704541293.4,82454233721.4,132060576169.72,172810268597.72,34150868119.64,74900560547.64,44210366293.4,84960058721.4,144565836169.72,185315528597.72,652966000000.0
Norway,2012,32258650.000000004,69080245.9,-3952700.0,73032945.9,399069.2,4985870.0,1.0,6.0,193109.0,16691.0,31287.0,32305.0,42617.0,158855.0,1.0,0.0,4.0,0.0,4962873717.294118,9835676147.294117,6317737017.294118,11190539447.294117,19834111367.29412,24706913797.29412,7282634258.994119,12155436688.994118,10184004586.794119,15056807016.794119,39128627618.89413,44001430048.89413,7531654358.994119,12404456788.994118,10599038086.794119,15471840516.794119,41199842418.89413,46072644848.89413,399069200000.0
Poland,2012,359642900.0,406555141.13,1364500.0,405190641.13,385389.4,38063792.0,17.0,316.0,787290.0,746756.0,289649.0,338510.0,452496.0,745830.0,11.0,10.0,45.0,90.0,87428567981.0,193029528770.0,102533569781.0,208134530570.0,253223944881.0,358824905670.0,90384039172.19,195984999961.19,107459355099.65,213060315888.65,277805959233.12,383406920022.12,90298075672.19,195899036461.19,107316082599.65,212917043388.65,277090961233.12,382691922022.12,385389400000.0
Portugal,2012,65053740.00000001,69325507.49,-2078600.0,71404107.49,168295.6,10542398.0,2.0,26.0,173816.0,51823.0,55911.0,48985.0,68718.0,137139.0,2.0,1.0,8.0,33.0,14309410371.0,36298824866.0,17041667451.0,39031081946.0,44299184511.0,66288599006.0,14578531722.869999,36567946217.87,17490203037.45,39479617532.45,46537590675.759995,68527005170.759995,14709483522.869999,36698898017.87,17708456037.45,39697870532.45,47626777075.759995,69616191570.76,168295600000.0
Romania,2012,90781770.0,131807980.47,-1793800.0,133601780.47,139319.8,20095996.0,5.0,45.0,251377.0,257428.0,163057.0,120769.0,160351.0,255555.0,3.0,2.0,14.0,15.0,34367006977.0,94731140301.0,38179841317.0,98543974641.0,76217402947.0,136581536271.0,36951658236.61,97315791560.61,42487593416.35,102851726740.35,97715137233.28,158079270557.28,37064667636.61,97428800960.61,42675942416.35,103040075740.35,98655088433.28,159019221757.28,139319800000.0
Sweden,2012,5856790.0,59902509.31,-30798000.0,90700509.31,430037.1,9482855.0,1.0,9.0,156098.0,24572.0,52836.0,23959.0,41515.0,166936.0,1.0,0.0,5.0,11.0,3097218910.0,8079271209.0,3343204090.0,8325256389.0,5797199100.0,10779251399.0,6502099226.530001,11484151525.53,9018004617.55,14000056916.55,34117156018.440002,39099208317.44,8442373226.53,13424425525.529999,12251794617.550001,17233846916.550003,50255308018.44,55237360317.44,430037100000.0
Slovenia,2012,12076270.0,17717780.47,-3132000.0,20849780.47,36253.3,2055496.0,1.0,6.0,45515.0,10521.0,18949.0,13964.0,16767.0,35642.0,1.0,0.0,2.0,2.0,5955689693.0,17140146217.0,6462893033.0,17647349557.0,11522850163.0,22707306687.0,6311104852.61,17495561376.61,7055251632.35,18239708156.35,14479001649.279999,25663458173.28,6508420852.61,17692877376.61,7384111632.35,18568568156.35,16120169649.279999,27304626173.28,36253300000.0
Slovakia,2012,35836600.0,42532035.45,-7442700.0,49974735.45,73649.3,5404322.0,1.0,8.0,77149.0,57007.0,28544.0,25840.0,32431.0,112801.0,1.0,1.0,4.0,1.0,9950811771.0,24651810180.0,11455948971.0,26156947380.0,26471484371.0,41172482780.0,10372624204.35,25073622613.35,12158969693.25,26859968102.25,29979892546.800003,44680890955.8,10841514304.35,25542512713.35,12940453193.25,27641451602.25,33879867346.800003,48580865755.8,73649300000.0
Belgium,2013,119599790.0,122295817.47,-107236400.0,229532217.47,392880.0,11137974.0,1.0,32.0,210581.0,43039.0,72788.0,25488.0,34608.0,126011.0,1.0,1.0,9.0,6.0,26654250766.0,67280859837.0,31677441946.0,72304051017.0,81789753956.0,122416363027.0,26824100496.61,67450709567.61,31960524830.35,72587133901.35,83202472350.28,123829081421.28,33579993696.61,74206602767.61,43220346830.35,83846955901.35,139394345950.28,180020955021.28,392880000000.0
Bulgaria,2013,47641280.0,55633684.99,4396600.0,51237084.99,42056.2,7284552.0,2.0,76.0,112590.0,162781.0,39428.0,34219.0,46956.0,95712.0,1.0,0.0,3.0,5.0,15571992234.0,40311449521.0,17572925994.0,42312383281.0,37534622314.0,62274079601.0,16075513748.37,40814971035.37,18412128517.95,43151585804.95,41722642528.76,66462099815.76,15798527948.37,40537985235.37,17950485517.95,42689942804.95,39418824128.76,64158281415.76,42056200000.0
Cyprus,2013,7690810.0,8105072.53,88656.0,8016416.53,18040.3,865878.0,0.0,1.0,15313.0,13499.0,5542.0,937.0,1651.0,7402.0,0.0,0.0,0.0,5.0,856080882.0,1179838267.0,1179094902.0,1502852287.0,4401544292.0,4725301677.0,882179421.3900001,1205936806.39,1222592467.65,1546349852.65,4618617857.72,4942375242.72,876594093.3900001,1200351478.39,1213283587.65,1537040972.65,4572162113.72,4895919498.72,18040300000.0
Czechia,2013,122997740.0,120204566.92,-2185800.0,122390366.92,159461.5,10516125.0,2.0,25.0,217119.0,145253.0,69607.0,44147.0,58364.0,236061.0,1.0,3.0,10.0,5.0,26125370796.0,64131247627.0,31291275876.0,69297152707.0,82827328936.0,120833205767.0,25949400891.96,63955277722.96,30997992702.6,69003869533.6,81363706242.08,119369583073.08,26087106291.96,64092983122.96,31227501702.6,69233378533.6,82509065442.08,120514942273.08,159461500000.0
Germany,2013,917292620.0,999768948.11,-95332200.0,1095101148.11,2811350.0,80523746.0,7.0,161.0,1436618.0,357349.0,639522.0,111408.0,225834.0,1212503.0,12.0,10.0,74.0,132.0,146565680404.0,348296039527.0,185091970444.0,386822329567.0,569437578224.0,771167937347.0,151761689074.93,353492048197.93,193751984895.55,395482344018.55,612655174153.64,814385533276.64,157767617674.93,359497976797.93,203761865895.55,405492225018.55,662609246953.6399,864339606076.6399,2811350000000.0
Denmark,2013,57791480.0,93115449.0,-10540000.0,103655449.0,258742.7,5602628.0,0.0,15.0,122003.0,12804.0,77666.0,17695.0,28525.0,120967.0,1.0,0.0,2.0,4.0,7590223953.0,14761233401.0,10017466113.0,17188475561.0,34232096233.0,41403105681.0,9815634000.0,16986643448.0,13726482858.0,20897492306.0,52741855989.0,59912865437.0,10479654000.0,17650663448.0,14833182858.0,22004192306.0,58264815989.0,65435825437.0,258742700000.0
Estonia,2013,19163300.0,24480210.69,2482700.0,21997510.69,18910.8,1320174.0,1.0,7.0,36608.0,41654.0,10888.0,9537.0,20833.0,22021.0,1.0,0.0,4.0,3.0,2074894372.0,2978460437.0,2879752972.0,3783319037.0,10909175672.0,11812741737.0,2409859745.4700003,3313425810.4700003,3438028594.4500003,4341594659.450001,13695236873.560001,14598802938.560001,2253449645.4700003,3157015710.4700003,3177345094.4500003,4080911159.4500003,12394302073.560001,13297868138.560001,18910800000.0
Greece,2013,101239980.0,110151868.81,18349500.0,91802368.81,179884.4,11003615.0,2.0,29.0,273678.0,121758.0,68033.0,43533.0,70383.0,179190.0,4.0,2.0,10.0,50.0,16395243497.0,36323752284.0,20647322657.0,40575831444.0,63066874277.0,82995383064.0,16956692492.029999,36885201279.03,21583070982.050003,41511579769.05,67736704013.44,87665212800.44,15800673992.029999,35729182779.03,19656373482.050003,39584882269.05,58121566013.44,78050074800.44,179884400000.0
Spain,2013,280190480.0,328742957.6,-23700900.0,352443857.6,1020677.0,46727890.0,5.0,103.0,812735.0,222068.0,447318.0,163896.0,240556.0,540568.0,7.0,4.0,23.0,53.0,62169316802.0,149418205237.0,73937316962.0,161186205397.0,191337128082.0,278586016517.0,65228122890.8,152477011325.8,79035327110.0,166284215545.0,216778626344.40002,304027514779.4,66721279590.8,153970168025.8,81523921610.0,168772810045.0,229197897944.40002,316446786379.4,1020677000000.0
Finland,2013,42487610.0,66449172.54,-14782600.0,81231772.53999999,204321.0,5426674.0,3.0,16.0,158832.0,47612.0,36950.0,19505.0,34137.0,98070.0,1.0,1.0,18.0,17.0,5439009206.0,9900147938.0,7223488826.0,11684627558.0,25025797416.0,29486936148.0,6948587646.02,11409726378.02,9739452892.7,14200591624.7,37581656186.96,42042794918.96,7879891446.0199995,12341030178.02,11291625892.699999,15752764624.699999,45327738586.96,49788877318.96,204321000000.0
France,2013,437550340.0,516902680.78,-108097300.0,624999980.78,2117189.0,65600350.0,7.0,105.0,1133700.0,199384.0,593357.0,259647.0,343203.0,1295767.0,3.0,4.0,37.0,51.0,103139991927.0,259915154851.0,121517106207.0,278292269131.0,304850698667.0,461625861591.0,108139189396.14,264914352320.14,129849101988.9,286624264912.9,346431325235.72,503206488159.72,114949319296.14,271724482220.14,141199318488.9,297974481412.9,403074310435.72,559849473359.72,2117189000000.0
Croatia,2013,18742360.0,25238134.06,-5103900.0,30342034.06,44532.9,4262140.0,0.0,8.0,57253.0,17047.0,29473.0,34096.0,48581.0,75108.0,1.0,0.0,2.0,5.0,7247644812.0,21187227480.0,8034823932.0,21974406600.0,15887872772.0,29827455440.0,7656878577.78,21596461245.78,8716880208.3,22656462876.3,19291658379.44,33231241047.44,7978424277.78,21918006945.78,9252789708.3,23192372376.3,21966101979.44,35905684647.44,44532900000.0
Hungary,2013,54588350.0,63477259.21,-16973500.0,80450759.21000001,102239.7,9908798.0,2.0,12.0,127895.0,29194.0,72182.0,57985.0,76259.0,131313.0,2.0,1.0,9.0,2.0,17836330258.0,49459393992.0,20129040958.0,51752104692.0,43001559608.0,74624623342.0,18396331538.23,50019395272.229996,21062376425.05,52685440159.05,47659348034.04,79282411768.04001,19465662038.23,51088725772.23,22844593925.050003,54467657659.05,56553462034.04,88176525768.04001,102239700000.0
Ireland,2013,66001270.00000001,68925140.07,-9222600.0,78147740.07,179285.6,4609779.0,1.0,9.0,111693.0,23341.0,118367.0,14478.0,30251.0,113458.0,0.0,0.0,4.0,7.0,7656169356.0,13393919286.0,10428222696.0,16165972626.0,38082754826.00001,43820504756.00001,7840373170.41,13578123100.41,10735229053.349998,16472978983.349998,39614862742.67999,45352612672.67999,8421396970.41,14159146900.41,11703602053.349998,17441351983.35,44447505142.67999,50185255072.67999,179285600000.0
Italy,2013,415242380.0,471520056.31,-121096700.0,592616756.31,1612751.3,59685227.0,17.0,232.0,786853.0,150033.0,369768.0,179707.0,240862.0,994480.0,5.0,8.0,47.0,33.0,132122033861.0,383461684721.0,149562213821.0,400901864681.0,323548771041.0,574888421901.0,135667527468.53,387007178328.53,155471369833.55,406811020693.55,353038273427.44,604377924287.44,143296619568.53,394636270428.53,168186523333.55,419526174193.55,416492944227.43994,667832595087.44,1612751300000.0
Lithuania,2013,10401300.0,22220426.5,-7940400.0,30160826.5,35039.5,2971905.0,0.0,4.0,52909.0,14864.0,36583.0,8999.0,25697.0,50076.0,0.0,0.0,1.0,6.0,1868585353.0,4523370812.0,2305439953.0,4960225412.0,6663584653.0,9318370112.0,2613190322.5,5267975781.5,3546448235.5,6201233694.5,12856806939.0,15511592398.0,3113435522.5,5768220981.5,4380190235.5,7034975694.5,17017576539.0,19672361998.0,35039500000.0
Latvia,2013,8314930.0,12171793.03,-5373200.0,17544993.03,22791.3,2023825.0,0.0,4.0,38783.0,3930.0,16205.0,19611.0,28703.0,38516.0,1.0,0.0,2.0,1.0,2190540063.0,5777030434.0,2539767123.0,6126257494.0,6023722793.0,9610213164.0,2433522433.89,6020012804.889999,2944737741.1499996,6531228112.15,8044719020.719999,11631209391.72,2772034033.8900003,6358524404.89,3508923741.15,7095414112.15,10860275820.720001,14446766191.720001,22791300000.0
Malta,2013,2797550.0,3040545.01,-4110100.0,7150645.01,7944.3,422509.0,0.0,1.0,7132.0,5113.0,1462.0,484.0,1147.0,3734.0,0.0,0.0,0.0,3.0,365221614.0,668292261.0,482718714.0,785789361.0,1654892164.0,1957962811.0,380530299.63,683600946.63,508233190.04999995,811303837.05,1782221549.2399998,2085292196.2399998,639466599.63,942537246.63,939793690.05,1242864337.05,3935913949.24,4238984596.24,7944300000.0
Netherlands,2013,201224690.0,216080445.01,-24556900.0,240637345.01,660463.0,16779575.0,1.0,14.0,311448.0,30501.0,123751.0,19634.0,33317.0,262263.0,3.0,1.0,4.0,2.0,31010187230.0,70222201724.0,39461624210.0,78673638704.0,123774769320.0,162986783814.0,31946099795.629997,71158114289.63,41021478486.05,80233492980.05,131559184945.23999,170771199439.24,33493184495.629997,72705198989.63,43599952986.05,82811967480.05,144427000545.24,183639015039.24,660463000000.0
Norway,2013,31975500.0,69252723.85,-4333500.0,73586223.85,395856.8,5051275.0,1.0,6.0,189612.0,17065.0,31587.0,28415.0,38332.0,157956.0,1.0,0.0,4.0,0.0,4794302938.529411,9387957169.529411,6137273938.529411,10730928169.529411,19535008438.52941,24128662669.52941,7142768041.079411,11736422272.07941,10051382442.779411,14645036673.779411,39068273735.929405,43661927966.929405,7415778541.079411,12009432772.07941,10506399942.779411,15100054173.779411,41339027735.929405,45932681966.929405,395856800000.0
Poland,2013,353384030.0,402275515.54,10803300.0,391472215.54,388356.4,38062535.0,16.0,307.0,747732.0,702404.0,294792.0,326406.0,432485.0,698656.0,10.0,10.0,44.0,80.0,84565665270.0,186159040926.0,99407794530.0,201001170186.0,247475703100.0,349069078756.0,87645828859.02,189239204515.02002,104541400511.70001,206134776167.7,273094841522.96002,374688217178.96,86965220959.02,188558596615.02002,103407054011.70001,205000429667.7,267433912322.96002,369027287978.96,388356400000.0
Portugal,2013,64284440.0,67273523.22,-1664900.0,68938423.22,170492.3,10487289.0,2.0,26.0,169890.0,47648.0,54583.0,47762.0,61504.0,135802.0,2.0,1.0,8.0,27.0,13772115859.0,34560450015.0,16472062339.0,37260396495.0,43407242699.0,64195576855.0,13960428101.86,34748762257.86,16785916077.099998,37574250233.1,44973522306.28,65761856462.28,14065316801.86,34853650957.86,16960730577.099998,37749064733.1,45845929906.28,66634264062.28,170492300000.0
Romania,2013,78752750.0,120165363.71,-339840.0,120505203.71,142928.9,20020074.0,4.0,42.0,229871.0,207926.0,164547.0,113428.0,150387.0,244420.0,3.0,2.0,13.0,13.0,31276839763.0,86702854607.0,34584455263.0,90010470107.0,67581857513.0,123007872357.0,33885834426.73,89311849270.73,38932779702.55,94358794546.55,89282067097.04,144708081941.03998,33907244346.73,89333259190.73,38968462902.55,94394477746.55,89460143257.04,144886158101.03998,142928900000.0
Sweden,2013,6017480.0,58433293.47,-28916500.0,87349793.47,441850.7,9555893.0,1.0,9.0,152732.0,22461.0,53767.0,23367.0,42856.0,159628.0,1.0,1.0,5.0,9.0,3099444013.0,8025276436.0,3352178173.0,8278010596.0,5873502293.0,10799334716.0,6401640261.610001,11327472684.61,8855838587.349998,13781671010.349998,33339388551.28,38265220974.28,8223379761.61,13149212184.61,11892071087.35,16817903510.35,48491634551.28,53417466974.28,441850700000.0
Slovenia,2013,13074680.0,17315916.89,-2942800.0,20258716.89,36454.3,2058821.0,1.0,6.0,42797.0,9722.0,18717.0,14053.0,16440.0,34787.0,1.0,0.0,2.0,2.0,5905983818.0,16825590480.0,6455120378.0,17374727040.0,11933411298.0,22853017960.0,6173181742.07,17092788404.07,6900450251.45,17820056913.45,14155819428.36,25075426090.36,6358578142.07,17278184804.07,7209444251.45,18129050913.45,15697846628.36,26617453290.36,36454300000.0
Slovakia,2013,34746550.0,42209207.18,-7685900.0,49895107.18,74492.8,5410836.0,1.0,9.0,69036.0,51750.0,28795.0,23874.0,30579.0,108171.0,1.0,1.0,3.0,1.0,9429499107.0,23145872470.0,10888854207.0,24605227570.0,25447658657.0,39164032020.0,9899646509.34,23616019872.34,11672433210.9,25388806573.9,29358091019.32,43074464382.32,10383858209.34,24100231572.34,12479452710.9,26195826073.9,33385502619.32,47101875982.32,74492800000.0
Belgium,2014,113971730.0,116511535.26,-115158300.0,231669835.26,403003.3,11180840.0,1.0,29.0,200344.0,40746.0,71192.0,20798.0,29655.0,119403.0,1.0,1.0,9.0,5.0,24533680430.0,61412542010.0,29320493090.0,66199354670.0,77074647960.0,113953509540.0,24693688161.38,61572549741.380005,29587172642.300003,66466034222.3,78405505916.24,115284367496.24,31948661061.379997,68827522641.38,41678794142.3,78557655722.3,138748455116.24,175627316696.24,403003300000.0
Bulgaria,2014,49437790.0,58813359.87,6285900.0,52527459.87,43024.7,7245677.0,3.0,12.0,118286.0,154120.0,40215.0,34168.0,49853.0,95011.0,1.0,0.0,3.0,5.0,13714570198.0,38789107047.0,15790957378.0,40865494227.0,36505391388.0,61579928237.0,14305231099.81,39379767948.81,16775392214.349998,41849929063.35,41418189999.88,66492726848.88,13909219399.81,38983756248.81,16115372714.349998,41189909563.35,38124378399.88,63198915248.88,43024700000.0
Cyprus,2014,8061339.999999999,8391112.3,-130890.0,8522002.3,17482.8,858000.0,0.0,1.0,16025.0,16667.0,5759.0,874.0,1513.0,7219.0,0.0,0.0,0.0,5.0,915833719.0,1267284054.0,1254409999.0,1605860334.0,4632111459.0,4983561794.0,936609373.9000001,1288059708.9,1289036090.5,1640486425.5,4804912144.200001,5156362479.200001,944855443.9000001,1296305778.9,1302779540.5,1654229875.5,4873498504.200001,5224948839.200001,17482800000.0
Czechia,2014,120878770.0,118514910.8,1546400.0,116968510.8,157821.3,10512419.0,1.0,25.0,211813.0,134491.0,71614.0,41555.0,55853.0,231594.0,1.0,3.0,10.0,6.0,25357021315.0,61994343791.0,30433929655.0,67071252131.0,81082134285.0,117719456761.0,25208098185.4,61845420661.4,30185724439.0,66823046915.0,79843472064.2,116480794540.2,25110674985.4,61747997461.4,30023352439.0,66660674915.0,79033158464.2,115670480940.2,157821300000.0
Germany,2014,884395140.0,945772819.37,-111409900.0,1057182719.37,2927430.0,80767463.0,7.0,157.0,1393624.0,335995.0,646932.0,103589.0,217719.0,1173315.0,12.0,10.0,75.0,125.0,141871375968.0,337355181159.0,179015971848.0,374499777039.0,549577535508.0,745061340699.0,145738169768.31,341221974959.31,185460628181.85,380944433372.85,581739439497.88,777223244688.88,152756993468.31,348240798659.31,197158667681.85,392642472872.85,640118227097.88,835602032288.88,2927430000000.0
Denmark,2014,54302950.0,86852652.02,-13390000.0,100242652.02,265757.0,5627235.0,0.0,15.0,112787.0,10730.0,77825.0,16290.0,28003.0,112530.0,1.0,0.0,2.0,3.0,7192500777.0,13970616549.0,9473224677.0,16251340449.0,32226160727.0,39004276499.0,9243132004.259998,16021247776.259998,12890943389.1,19669059161.1,49282204585.479996,56060320357.479996,10086702004.259998,16864817776.259998,14296893389.1,21075009161.1,56298564585.479996,63076680357.479996,265757000000.0
