countries,Year,Territorial GHG emissions [t],Residential GHG emissions [t],Transfer GHG emissions [t],Footprint GHG emissions [t],GDP [MIO_EURO],Population,As [t],Pb [t],NOx [t],SOx [t],NH3 [t],PM2.5 [t],PM10 [t],NMVOC [t],Cd [t],Hg [t],Cr [t],Ni [t],External costs (Territorial & Low GHG with VOLY) scenario [Euro],External costs (Territorial & Low GHG with VSL) scenario [Euro],External costs (Territorial & Central GHG with VOLY) scenario [Euro],External costs (Territorial & Central GHG with VSL) scenario [Euro],External costs (Territorial & High GHG with VOLY) scenario [Euro],External costs (Territorial & High GHG with VSL) scenario [Euro],External costs (Residential & Low GHG with VOLY) scenario [Euro],External costs (Residential & Low GHG with VSL) scenario [Euro],External costs (Residential & Central GHG with VOLY) scenario [Euro],External costs (Residential & Central GHG with VSL) scenario [Euro],External costs (Residential & High GHG with VOLY) scenario [Euro],External costs (Residential & High GHG with VSL) scenario [Euro],External costs (Footprint & Low GHG with VOLY) scenario [Euro],External costs (Footprint & Low GHG with VSL) scenario [Euro],External costs (Footprint & Central GHG with VOLY) scenario [Euro],External costs (Footprint & Central GHG with VSL) scenario [Euro],External costs (Footprint & High GHG with VOLY) scenario [Euro],External costs (Footprint & High GHG with VSL) scenario [Euro],GDP [EURO]
Cyprus,1991,5989310.0,,-1762700.0,,,587141.0,0.0,26.0,17919.0,32784.0,5675.0,2698.0,5316.0,12932.0,0.0,0.0,0.0,6.0,1880987153.0,2483806618.0,2132538173.0,2735357638.0,4642059063.0,5244878528.0,,,,,,,,,,,,,
Czechia,1991,172694080.0,,18298300.0,,,10304607.0,47.0,255.0,721073.0,1649744.0,125341.0,234228.0,347673.0,496490.0,4.0,5.0,23.0,46.0,115641329157.0,324070962806.0,122894480517.0,331324114166.0,195253300037.0,403682933686.0,,,,,,,,,,,,,
Germany,1991,1180108960.0,,-127451200.0,,1512391.8,79753227.0,58.0,1453.0,2616106.0,3963979.0,649182.0,227066.0,415675.0,3426536.0,25.0,30.0,138.0,313.0,380509052880.0,995756830394.0,430073629200.0,1045321406714.0,924539283440.0,1539787060954.0,,,,,,,,,,,,,1512391800000.0
Denmark,1991,88426930.0,,-1653200.0,,112605.4,5146469.0,2.0,111.0,343991.0,238678.0,136070.0,24529.0,36535.0,220667.0,1.0,3.0,6.0,21.0,19328089349.0,40912082355.0,23042020409.0,44626013415.0,60092904079.0,81676897085.0,,,,,,,,,,,,,112605400000.0
Estonia,1991,33834260.0,,3877200.0,,,1567749.0,17.0,184.0,66641.0,252166.0,18795.0,12750.0,50026.0,61236.0,4.0,1.0,15.0,23.0,10313800883.0,12819004108.0,11734839803.0,14240043028.0,25911394743.0,28416597968.0,,,,,,,,,,,,,
Greece,1991,101633540.0,,-12004100.0,,,10272691.0,2.0,479.0,408900.0,506469.0,88323.0,61013.0,84911.0,322262.0,7.0,2.0,6.0,44.0,38727727606.0,74451792916.0,42996336286.0,78720401596.0,85580789546.0,121304854856.0,,,,,,,,,,,,,
Spain,1991,261369910.0,,-30398200.0,,,38881416.0,10.0,2061.0,1351115.0,2071451.0,486589.0,212292.0,306724.0,1029710.0,25.0,11.0,29.0,181.0,183466681776.0,392226770416.0,194444217996.0,403204306636.0,303958210286.0,512718298926.0,,,,,,,,,,,,,
Finland,1991,30959770.0,,-19366200.0,,103292.1,4998478.0,24.0,237.0,303711.0,205522.0,34349.0,42550.0,66705.0,225471.0,4.0,1.0,60.0,61.0,15195346480.0,25021660108.0,16495656820.0,26321970448.0,29467800450.0,39294114078.0,,,,,,,,,,,,,103292100000.0
France,1991,547954400.0,,-86552300.0,,1026930.1,58313439.0,20.0,2877.0,2226858.0,1378152.0,672324.0,519512.0,642309.0,2952411.0,20.0,26.0,345.0,313.0,301314401640.0,670591790098.0,324328486440.0,693605874898.0,553921380040.0,923198768498.0,,,,,,,,,,,,,1026930100000.0
Croatia,1991,17335040.0,,1336100.0,,,4782179.0,4.0,356.0,80157.0,99520.0,50472.0,42565.0,59558.0,137196.0,1.0,1.0,4.0,13.0,22195872499.0,44956035327.0,22923944179.0,45684107007.0,30187325939.0,52947488767.0,,,,,,,,,,,,,
