countries,Year,GrDP per capita (Territorial & Low GHG with VOLY) scenario [Euro],GrDP per capita (Territorial & Low GHG with VSL) scenario [Euro],GrDP per capita (Territorial & Central GHG with VOLY) scenario [Euro],GrDP per capita (Territorial & Central GHG with VSL) scenario [Euro],GrDP per capita (Territorial & High GHG with VOLY) scenario [Euro],GrDP per capita (Territorial & High GHG with VSL) scenario [Euro],GrDP per capita (Residential & Low GHG with VOLY) scenario [Euro],GrDP per capita (Residential & Low GHG with VSL) scenario [Euro],GrDP per capita (Residential & Central GHG with VOLY) scenario [Euro],GrDP per capita (Residential & Central GHG with VSL) scenario [Euro],GrDP per capita (Residential & High GHG with VOLY) scenario [Euro],GrDP per capita (Residential & High GHG with VSL) scenario [Euro],GrDP per capita (Footprint & Low GHG with VOLY) scenario [Euro],GrDP per capita (Footprint & Low GHG with VSL) scenario [Euro],GrDP per capita (Footprint & Central GHG with VOLY) scenario [Euro],GrDP per capita (Footprint & Central GHG with VSL) scenario [Euro],GrDP per capita (Footprint & High GHG with VOLY) scenario [Euro],GrDP per capita (Footprint & High GHG with VSL) scenario [Euro]
Ireland,1996,12386.219612907504,8551.83300382728,11590.311395789855,7755.924786709632,3650.179420259029,-184.20718882119408,,,,,,,,,,,,
Italy,1996,13284.313904407867,5002.532650852646,12911.225046454609,4629.4437928993875,9189.219534968537,907.4382814133169,,,,,,,,,,,,
Lithuania,1996,926.8719759726401,-109.95002201807229,642.9567754256185,-393.8652225650943,-2189.43534431729,-3226.257342308003,,,,,,,,,,,,
Latvia,1996,-681.1386749143862,-3032.8058477500385,-641.4365452387517,-2993.103718074404,-245.36053728420492,-2597.0277101198567,,,,,,,,,,,,
Malta,1996,6815.910550628429,5672.2780441010145,6507.59895772772,5363.966451200305,3431.8237809325483,2288.1912744051338,6773.989961311192,5630.357454783776,6437.731308865657,5294.0988023382415,3083.1509428018735,1939.518436274459,6553.791971860763,5410.159465333347,6070.734659781609,4927.1021532541945,1251.6629035633873,108.03039703597236
Netherlands,1996,19380.32821314261,14284.48328137629,18707.251515613672,13611.406583847347,11992.510175979703,6896.665244213378,19336.650859725407,14240.805927959082,18634.45592658499,13538.610994818664,11629.225522160381,6533.380590394058,19196.012741045193,14100.16780927887,18400.059062117973,13304.21413035165,10459.473550915462,5363.628619149137
Norway,1996,27948.845744989092,26511.03644755207,27558.254972585608,26120.445675148585,23661.647028846117,22223.837731409094,,,,,,,,,,,,
Poland,1996,-221.2930429453202,-4709.893248558466,-684.3460409989804,-5172.946246612128,-5303.850950153355,-9792.451155766501,,,,,,,,,,,,
Portugal,1996,6772.839999490228,3403.8355931428814,6529.83438790891,3160.8299815615633,4105.564119990526,736.5597136431796,6708.970146504876,3339.9657401575305,6423.384632933325,3054.3802265859786,3574.3291523028424,205.32474595549724,6652.411428511406,3283.4070221640595,6329.120102944205,2960.1156965968603,3103.9042597857183,-265.1001465616286
Romania,1996,-1400.9449784153483,-5138.729464522759,-1700.2649907122322,-5438.049476819644,-4686.338446721628,-8424.122932829041,,,,,,,,,,,,
Sweden,1996,25238.559994708907,24314.884104954614,25086.358864433998,24162.682974679705,23567.971398120008,22644.295508365718,,,,,,,,,,,,
Slovenia,1996,3385.827977767795,-6843.9686313286775,3095.574172497545,-7134.222436598927,199.94692468242886,-10029.84968441404,,,,,,,,,,,,
Slovakia,1996,31.281115505636855,-4678.009750940331,-310.4732973905462,-5019.764163836514,-3719.88041652151,-8429.171282967476,-79.39654189154136,-4788.68740833751,-494.93605971917634,-5204.226926165144,-4640.43743995201,-9349.728306397978,-129.109570903481,-4838.400437349449,-577.7911080724095,-5287.081974518376,-5053.923586019572,-9763.21445246554
Belgium,1997,16345.982198920654,7662.34309778367,15739.776053649151,7056.136952512168,9692.148080583464,1008.5089794464764,,,,,,,,,,,,
Bulgaria,1997,-4064.914397376984,-12830.40637993146,-4333.210351212382,-13098.702333766858,-7009.781890665509,-15775.273873219981,,,,,,,,,,,,
Cyprus,1997,9514.110575660388,8442.017680879708,9051.450174317475,7979.357279536795,4435.86188472985,3363.7689899491693,,,,,,,,,,,,
Czechia,1997,-454.222375063984,-9255.793990321401,-1066.23979805487,-9867.811413312287,-7171.842184559193,-15973.413799816606,,,,,,,,,,,,
Germany,1997,21109.04907795261,17026.556771933414,20552.77581692091,16470.28351090171,15003.287808057054,10920.795502037858,,,,,,,,,,,,
Denmark,1997,26519.234272730428,23769.02298165293,25816.056942769654,23065.84565169216,18801.02596054195,16050.814669464455,26404.317035717282,23654.105744639794,25624.528214414422,22874.316923336926,17845.206401892967,15094.995110815471,26380.706013335053,23630.494722257557,25585.176510444027,22834.965219366535,17648.822660174053,14898.611369096561
Estonia,1997,737.7843998133708,-359.1033800949646,233.24287906935703,-863.6449008389781,-4800.159435019729,-5897.047214928065,,,,,,,,,,,,
Greece,1997,8336.286077581832,4836.700746250894,7880.674733920976,4381.089402590038,3335.4091864471948,-164.1761448837432,,,,,,,,,,,,
Spain,1997,9915.81522265622,5352.039571113585,9605.38470382108,5041.609052278448,6508.47071829911,1944.6950667564747,,,,,,,,,,,,
Finland,1997,20260.72559933909,18853.209852659227,19852.18428858684,18444.668541906973,15776.498355129845,14368.98260844998,,,,,,,,,,,,
France,1997,18099.364802383992,13378.526647451932,17738.33767142716,13017.499516495105,14136.662245929296,9415.824090997237,,,,,,,,,,,,
