countries,Year,GrDP (Territorial & Low GHG with VOLY) scenario [Million Euro],GrDP (Territorial & Low GHG with VSL) scenario [Million Euro],GrDP (Territorial & Central GHG with VOLY) scenario [Million Euro],GrDP (Territorial & Central GHG with VSL) scenario [Million Euro],GrDP (Territorial & High GHG with VOLY) scenario [Million Euro],GrDP (Territorial & High GHG with VSL) scenario [Million Euro],GrDP (Residential & Low GHG with VOLY) scenario [Million Euro],GrDP (Residential & Low GHG with VSL) scenario [Million Euro],GrDP (Residential & Central GHG with VOLY) scenario [Million Euro],GrDP (Residential & Central GHG with VSL) scenario [Million Euro],GrDP (Residential & High GHG with VOLY) scenario [Million Euro],GrDP (Residential & High GHG with VSL) scenario [Million Euro],GrDP (Footprint & Low GHG with VOLY) scenario [Million Euro],GrDP (Footprint & Low GHG with VSL) scenario [Million Euro],GrDP (Footprint & Central GHG with VOLY) scenario [Million Euro],GrDP (Footprint & Central GHG with VSL) scenario [Million Euro],GrDP (Footprint & High GHG with VOLY) scenario [Million Euro],GrDP (Footprint & High GHG with VSL) scenario [Million Euro]
Lithuania,1996,3350.8386900000005,-397.49263899999914,2324.4250500000007,-1423.9062789999998,-7915.272929999998,-11663.604259,,,,,,,,,,,,
Latvia,1996,-1682.093072999999,-7489.608058,-1584.0474329999997,-7391.5624179999995,-605.9254529999998,-6413.440438,,,,,,,,,,,,
Malta,1996,2579.167816,2146.412701,2462.501476,2029.746361,1298.615846,865.8607310000002,2563.3048973200002,2130.54978232,2436.0632782000002,2003.3081631999999,1166.67664936,733.9215343600004,2479.98109732,2047.22598232,2297.1902781999997,1864.4351632,473.63424936,40.87913436000008
Netherlands,1996,300276.65411799995,221322.198384,289848.078478,210893.622744,185810.621498,106856.16576399998,299599.92205234,220645.46631833998,288720.1917019,209765.73596789996,180181.92939632,101227.47366232,297420.89065233996,218466.43491833998,285088.47270189994,206134.01696789998,162057.92219632,83103.46646232001
Norway,1996,122135.25410523529,115852.08930123529,120428.3892252353,114145.2244212353,103400.3800652353,97117.2152612353,,,,,,,,,,,,
Poland,1996,-8543.991391000003,-181846.147681,-26422.189350999994,-199724.34564100002,-204778.497571,-378080.65386099997,,,,,,,,,,,,
Portugal,1996,68024.325693,34187.07972000001,65583.651933,31746.405960000004,41235.025613000005,7397.779640000008,67382.83649766,33545.59052466001,64514.5032741,30677.257301100006,35899.464686679996,2062.2187136800057,66814.77809766,32977.53212466001,63567.7392741,29730.49330110001,31174.66148668,-2662.5844863200036
Romania,1996,-31740.012568,-116423.799864,-38521.45016799999,-123205.237464,-106174.36336799999,-190858.150664,,,,,,,,,,,,
Sweden,1996,223045.672999,214882.69101799998,221700.596119,213537.614138,208281.85295899998,200118.870978,,,,,,,,,,,,
Slovenia,1996,6738.698305999998,-13621.318072000002,6161.016025999999,-14199.000352,397.9475659999989,-19962.068811999998,,,,,,,,,,,,
