countries,Year,GDP [Euro],Population,GrDP (Territorial & Low GHG with VOLY) scenario [Euro],GrDP (Territorial & Low GHG with VSL) scenario [Euro],GrDP (Territorial & Central GHG with VOLY) scenario [Euro],GrDP (Territorial & Central GHG with VSL) scenario [Euro],GrDP (Territorial & High GHG with VOLY) scenario [Euro],GrDP (Territorial & High GHG with VSL) scenario [Euro],GrDP (Residential & Low GHG with VOLY) scenario [Euro],GrDP (Residential & Low GHG with VSL) scenario [Euro],GrDP (Residential & Central GHG with VOLY) scenario [Euro],GrDP (Residential & Central GHG with VSL) scenario [Euro],GrDP (Residential & High GHG with VOLY) scenario [Euro],GrDP (Residential & High GHG with VSL) scenario [Euro],GrDP (Footprint & Low GHG with VOLY) scenario [Euro],GrDP (Footprint & Low GHG with VSL) scenario [Euro],GrDP (Footprint & Central GHG with VOLY) scenario [Euro],GrDP (Footprint & Central GHG with VSL) scenario [Euro],GrDP (Footprint & High GHG with VOLY) scenario [Euro],GrDP (Footprint & High GHG with VSL) scenario [Euro],GrDP per capita (Territorial & Low GHG with VOLY) scenario [Euro],GrDP per capita (Territorial & Low GHG with VSL) scenario [Euro],GrDP per capita (Territorial & Central GHG with VOLY) scenario [Euro],GrDP per capita (Territorial & Central GHG with VSL) scenario [Euro],GrDP per capita (Territorial & High GHG with VOLY) scenario [Euro],GrDP per capita (Territorial & High GHG with VSL) scenario [Euro],GrDP per capita (Residential & Low GHG with VOLY) scenario [Euro],GrDP per capita (Residential & Low GHG with VSL) scenario [Euro],GrDP per capita (Residential & Central GHG with VOLY) scenario [Euro],GrDP per capita (Residential & Central GHG with VSL) scenario [Euro],GrDP per capita (Residential & High GHG with VOLY) scenario [Euro],GrDP per capita (Residential & High GHG with VSL) scenario [Euro],GrDP per capita (Footprint & Low GHG with VOLY) scenario [Euro],GrDP per capita (Footprint & Low GHG with VSL) scenario [Euro],GrDP per capita (Footprint & Central GHG with VOLY) scenario [Euro],GrDP per capita (Footprint & Central GHG with VSL) scenario [Euro],GrDP per capita (Footprint & High GHG with VOLY) scenario [Euro],GrDP per capita (Footprint & High GHG with VSL) scenario [Euro],GDP per capita [Euro]
Sweden,2015,455494700000.0,9747355.0,452765236732.0,448293349682.0,452465134132.0,447993247082.0,449471253432.0,444999366382.0,449595110132.71,445123223082.71,447181589799.85,442709702749.85,423103851241.08,418631964191.08,447840616832.71,443368729782.71,444257434299.85,439785547249.85,408510922841.08,404039035791.08,46450.061245537894,45991.28170483172,46419.273139431156,45960.493598724985,46112.12512850922,45653.34558780305,46124.83182696332,45666.052286257145,45877.22410847353,45418.44456776736,43407.04234544448,42948.26280473831,45944.834966276496,45486.055425570325,45577.229340662154,45118.44979995598,41909.925599414404,41451.14605870823,46730.08216075027
Sweden,2016,466266500000.0,9851017.0,463441763294.0,458994225747.0,463095179294.0,458647641747.0,459637591294.0,455190053747.0,460289470238.27,455841932691.27,457841357534.45,453393819987.45,433418518893.96,428970981346.96,458538605738.27,454091068191.27,454923250034.45,450475712487.45,418855772893.96,414408235346.96,47045.0678639576,46593.587824181,47009.8853036189,46558.4052638423,46658.89738024003,46207.41734046343,46725.07115136133,46273.59111158473,46476.55744929179,46025.07740951518,43997.33742150278,43545.85738172617,46547.33676109482,46095.85672131822,46180.333465514275,45728.85342573767,42519.0386834131,42067.55864363649,47331.81355793011
Sweden,2017,480025500000.0,9995153.0,476686027734.0,472290215907.0,476107576434.0,471711764607.0,470336836084.0,465941024257.0,473974439959.23,469578628132.23,471588263476.05,467192451649.05,447783312370.04,443387500543.04,472097222659.23,467701410832.23,468459567976.05,464063756149.05,432169631970.04,427773820143.04,47691.71894957486,47251.92459855292,47633.84576844396,47194.05141742202,47056.49189001909,46616.69753899715,47420.42867770308,46980.63432668114,47181.69531532434,46741.9009643024,44800.04581921257,44360.25146819063,47232.61591485693,46792.82156383499,46868.674043914085,46428.879692892144,43237.92061712712,42798.12626610518,48025.82811888923
Sweden,2018,470673100000.0,10120242.0,467448081433.0,463176084612.0,466762075273.0,462490078452.0,459918347153.0,455646350332.0,464950647688.39,460678650867.39,462599685698.65,458327688877.65,439146041086.72,434874044265.72,463024239988.39,458752243167.39,459389006198.65,455117009377.65,423123221486.72,418851224665.72,46189.41735118587,45767.29337223359,46121.63180218418,45699.50782323189,45445.39025381014,45023.26627485785,45942.641261779114,45520.51728282683,45710.33831983959,45288.21434088731,43392.839922871404,42970.715943919124,45752.28932157848,45330.1653426262,45393.08508617186,44970.96110721957,41809.59521390101,41387.47123494872,46508.08745482568
Sweden,2019,476869500000.0,10230185.0,473978852314.0,469899058479.0,473460085114.0,469380291279.0,468284764714.0,464204970879.0,471311714294.44,467231920459.44,469014855081.4,464935061246.4,446100950075.12,442021156240.12,469564396694.44,465484602859.44,466102659081.4,462022865246.4,431567705275.12,427487911440.12,46331.405767735385,45932.60615316341,46280.696303537035,45881.896688965055,45774.80902974873,45376.009415176755,46070.69317851437,45671.893563942394,45846.17532150201,45447.37570693003,43606.342414640596,43207.54280006862,45899.89298281898,45501.093368247006,45561.50832867636,45162.70871410439,42185.71856472977,41786.91895015779,46613.96641409711
Sweden,2020,480556400000.0,10327589.0,478219224614.0,474329190962.0,478012273394.0,474122239742.0,475947688604.0,472057654952.0,475446366573.53,471556332921.53,473390843326.55,469500809674.55,452884551886.44,448994518234.44,473892780273.53,470002746621.53,470801532826.55,466911499174.55,439962659486.44,436072625834.44,46305.02091185077,45928.35665342608,46284.98223486624,45908.31797644155,46085.0725763777,45708.408317953006,46036.530556505495,45659.8662980808,45837.49830929077,45460.834050866084,43851.91470017252,43475.25044174783,45886.09987031146,45509.435611886765,45586.780498967375,45210.11624054269,42600.713437225284,42224.04917880059,46531.324978172546
Sweden,2021,540734000000.0,10379295.0,538382696436.0,534561627260.0,538126249896.0,534305180720.0,535567890366.0,531746821190.0,535552460540.1,531731391364.1,533409190069.5,529588120893.5,512027515612.8,508206446436.8,533685487040.1,529864417864.1,530297567569.5,526476498393.5,496499037612.8,492677968436.8,51870.834814503294,51502.69139281618,51846.12730402209,51477.98388233498,51599.64047326914,51231.49705158202,51598.15387654942,51230.0104548623,51391.65907409896,51023.51565241184,49331.627592509896,48963.484170822776,51418.27908736576,51050.13566567864,51091.86775879287,50723.72433710575,47835.52617136328,47467.38274967616,52097.372702095854
Slovenia,1990,,1996377.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slovenia,1991,,1999945.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slovenia,1992,,1998912.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slovenia,1993,,1994084.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slovenia,1994,,1989408.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slovenia,1995,16340400000.0,1989477.0,5555088634.0,-15241722656.0,4978543714.0,-15818267576.0,-773178226.0,-21569989516.0,,,,,,,,,,,,,2792.2356649511403,-7661.170576990838,2502.4384368354094,-7950.967805106568,-388.63391031914415,-10842.040152261123,,,,,,,,,,,,,8213.414882403767
Slovenia,1996,16946099999.999998,1990266.0,6738698305.999998,-13621318072.000002,6161016025.999998,-14199000352.000002,397947565.9999981,-19962068812.0,,,,,,,,,,,,,3385.827977767795,-6843.9686313286775,3095.5741724975446,-7134.222436598928,199.94692468242843,-10029.849684414043,,,,,,,,,,,,,8514.490022941656
Slovenia,1997,18320700000.0,1986989.0,7996722951.0,-12663257220.0,7405232751.0,-13254747420.0,1504413851.0,-19155566320.0,,,,,,,,,,,,,4024.5431409031453,-6373.088738790199,3726.8614728113744,-6670.77040688197,757.132450657754,-9640.499429035592,,,,,,,,,,,,,9220.332875521706
Slovenia,1998,19784600000.0,1984923.0,10030955646.0,-9451574067.0,9462420546.0,-10020109167.0,3790606096.0,-15691923617.0,,,,,,,,,,,,,5053.574192046744,-4761.682980649627,4767.147413778771,-5048.109758917601,1909.6993162958966,-7905.557856400475,,,,,,,,,,,,,9967.439542994867
Slovenia,1999,21227500000.0,1978334.0,12111760549.0,-6054621040.0,11570606509.0,-6595775080.0,6171950729.0,-11994430860.0,,,,,,,,,,,,,6122.2020897381335,-3060.4645322781694,5848.661807864597,-3334.0048141517054,3119.7718529833687,-6062.894769032934,,,,,,,,,,,,,10729.987959565979
Slovenia,2000,21866800000.0,1987755.0,12906919910.0,-5017561084.0,12379037450.0,-5545443544.0,7112781480.0,-10811699514.0,,,,,,,,,,,,,6493.214661766667,-2524.235171839588,6227.647496799153,-2789.8023368071013,3578.2988748613384,-5439.150958744915,,,,,,,,,,,,,11000.752104761401
