countries,Year,GHG [t],GDP [MIO_EURO],Population,As [t],Pb [t],NOx [t],SOx [t],NH3 [t],PM2.5 [t],PM10 [t],NMVOC [t],Cd [t],Hg [t],Cr [t],Ni [t]
Poland,1993,443402810.0,,38418108.0,75.0,568.0,1116982.0,2218280.0,379710.0,511712.0,768092.0,953809.0,12.0,14.0,56.0,175.0
Portugal,1993,54133320.0,,9954958.0,4.0,746.0,285648.0,309548.0,70803.0,62920.0,79908.0,242402.0,2.0,2.0,12.0,113.0
Romania,1993,152519760.0,,22778533.0,36.0,341.0,371705.0,699726.0,226844.0,64723.0,105614.0,277928.0,4.0,2.0,16.0,73.0
Sweden,1993,30379990.0,181713.6,8692013.0,3.0,144.0,266235.0,82293.0,60654.0,44463.0,64845.0,298970.0,1.0,1.0,17.0,28.0
Slovenia,1993,12804010.0,,1994084.0,1.0,36.0,73277.0,191346.0,21796.0,13880.0,16790.0,61883.0,1.0,0.0,2.0,2.0
Slovakia,1993,44735120.0,,5314155.0,3.0,51.0,109951.0,126506.0,38402.0,66393.0,76374.0,197734.0,2.0,2.0,5.0,5.0
Belgium,1994,149390270.0,,10100631.0,7.0,169.0,415648.0,290227.0,133259.0,44992.0,61973.0,320334.0,4.0,4.0,28.0,77.0
Bulgaria,1994,54253230.0,,8459763.0,14.0,457.0,205942.0,1748596.0,62520.0,32602.0,56082.0,173080.0,5.0,3.0,13.0,52.0
Cyprus,1994,6962210.0,,632944.0,0.0,27.0,21271.0,41853.0,6543.0,2629.0,5005.0,13535.0,0.0,0.0,0.0,8.0
Czechia,1994,151612060.0,,10334013.0,25.0,259.0,458752.0,1158967.0,91377.0,136782.0,199718.0,419817.0,2.0,4.0,18.0,32.0
Germany,1994,1098476820.0,1859310.3,81338093.0,17.0,752.0,2229046.0,2416193.0,619718.0,205516.0,345553.0,2494069.0,21.0,21.0,98.0,232.0
Denmark,1994,87851610.0,131678.0,5196642.0,1.0,29.0,301331.0,151487.0,124640.0,23549.0,34653.0,214005.0,1.0,3.0,4.0,21.0
Estonia,1994,19092650.0,,1476952.0,11.0,120.0,45191.0,151428.0,11243.0,12269.0,41021.0,35984.0,3.0,1.0,10.0,13.0
Greece,1994,104671030.0,,10489871.0,3.0,418.0,415484.0,500013.0,76069.0,62896.0,88452.0,318836.0,8.0,2.0,6.0,46.0
Spain,1994,276732540.0,,39458489.0,9.0,1034.0,1313802.0,1904813.0,493678.0,201789.0,299638.0,941536.0,20.0,10.0,27.0,171.0
European Union - 27 countries (from 2020),1994,4217476219.9999995,,423104986.0,283.0,9948.0,13377903.0,15635539.0,4177813.0,2374706.0,3431648.0,13202168.0,127.0,114.0,674.0,1577.0
Finland,1994,49478640.0,87157.1,5077912.0,11.0,74.0,294137.0,122681.0,34788.0,34835.0,55699.0,212465.0,3.0,1.0,41.0,45.0
France,1994,508960050.0,1175736.5,59104320.0,17.0,1629.0,2019527.0,995373.0,650047.0,441676.0,550375.0,2596288.0,19.0,22.0,206.0,216.0
Croatia,1994,13997310.0,,4645155.0,2.0,282.0,77435.0,99531.0,40237.0,35728.0,52801.0,99076.0,1.0,0.0,5.0,11.0
Hungary,1994,72338320.0,,10350010.0,3.0,195.0,193160.0,629192.0,80754.0,53191.0,75461.0,218324.0,2.0,2.0,13.0,22.0
Ireland,1994,64332370.0,,3583154.0,2.0,116.0,172316.0,177224.0,115974.0,22772.0,38593.0,143903.0,1.0,1.0,5.0,27.0
Iceland,1994,13022390.0,,265064.0,0.0,1.0,30634.0,22833.0,4573.0,1542.0,3137.0,9638.0,0.0,0.0,0.0,2.0
Italy,1994,492228340.0,,56842392.0,29.0,2120.0,2026508.0,1389141.0,458471.0,235538.0,333922.0,2071785.0,11.0,14.0,81.0,110.0
Lithuania,1994,17677640.0,,3671296.0,0.0,4.0,68108.0,110380.0,43222.0,8440.0,10311.0,87538.0,0.0,0.0,2.0,18.0
Latvia,1994,-1984520.0,,2540904.0,10.0,149.0,57985.0,66712.0,16047.0,26718.0,30659.0,64020.0,1.0,0.0,2.0,12.0
Malta,1994,2889610.0,,373161.0,0.0,1.0,8554.0,12969.0,2351.0,676.0,1044.0,5706.0,0.0,0.0,0.0,5.0
Netherlands,1994,238236060.0,,15341553.0,1.0,183.0,596098.0,149537.0,254414.0,47567.0,65989.0,467624.0,3.0,2.0,10.0,83.0
Norway,1994,40846880.0,107143.6,4324815.0,4.0,28.0,204434.0,35163.0,28992.0,42673.0,53424.0,385007.0,2.0,1.0,12.0,0.0
Poland,1994,437776390.0,,38504707.0,74.0,586.0,1101482.0,2113698.0,382497.0,459598.0,691982.0,954299.0,13.0,14.0,54.0,170.0
